Year,obj-1,obj-2,obj-3,obj-4,obj-5,obj-6,obj-7,obj-8,obj-9,obj-10,obj-11,obj-12,obj-13,obj-14,obj-15,obj-16,obj-17,obj-18,obj-19,obj-20,obj-21,obj-22
1921,,,,,,,,,,,,,,0.099,,,,,,,,
1922,,,,,,,,,,,,,,,,,,,,,0.074,
1923,,,,,,,,,,,,,,,,,,,,,0.055,
1924,,,,,,,,,,,,,,,,,,,,,0.049,
1925,,,,,,,,,,,,,,,,,,,,,0.05,
1926,,,,,,,,,,,,,,,,,,,,,0.053,
1927,,,,,,,,,,,,,,,,,,,,,0.043,0.121
1928,,,,,,,,,,,,,,,,,,,,,0.058,0.164
1929,,,,,,,,,,,,,,,,,,,,,0.059,0.16
1930,,,,,,,,,,,,,,,,,,,,,0.07,0.19
1931,,,,,,,,,,,,,,,,,,,,,0.101,0.237
1932,,,,,,,,,,,,,,,,,,,,,0.09,0.186
1933,,,0.123,,,,,,,,,,,,,,,,,,0.072,0.147
1934,,,0.104,,,,,,,,,,,,,,,,,,0.079,0.125
1935,,,0.098,,,,,,,,,0.129,,,,,,,,0.132,0.086,0.114
1936,,,0.103,,,,,,,,,0.114,,,,,,,,0.116,0.104,0.104
1937,,,0.086,,,,,,,,,0.081,,,,,,,,0.129,0.151,0.143
1938,,,0.123,,,,,,,,,0.124,,,,,,,,0.158,0.15,0.149
1939,,,0.115,,,,,,,,,0.15,,,,,,,,0.221,0.131,0.105
1940,,,0.057,,,,,,,,,0.175,,,,,,,,0.216,0.143,0.083
1941,,,0.092,,,,,,,0.133,,0.114,,,,,,,,0.21,0.141,0.075
1942,,,0.079,,,,,,,0.084,,0.242,,,,,,,,0.215,0.139,0.085
1943,,,0.095,,,,,0.08,,0.087,,0.214,,,,,,,,0.2,0.159,0.103
1944,,,0.097,,,,,0.019,,0.069,,0.237,,,,,,,,0.13,0.124,0.079
1945,,,0.111,,,,0.127,0.034,,0.069,,0.158,,,,,,,,0.067,0.049,0.035
1946,,,0.064,,,,0.074,0.063,,0.085,,0.092,,,,,,,,0.097,0.083,0.072
1947,,,0.062,,,,0.054,0.084,,0.102,,0.061,,,,,,,,0.14,0.115,0.087
1948,,,0.125,,,,0.078,0.108,,0.096,,0.095,,,,,,,,0.145,0.123,0.098
1949,,0.072,0.114,,,,0.069,0.083,,0.078,,0.103,,,,,,,,0.086,0.086,0.066
1950,0.078,0.066,0.101,,,0.111,0.067,0.126,,0.084,,0.119,,,,,,,,0.108,0.087,0.071
